,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,class
0,0.585593,0.008486855072463769,0.192772,738.6857142857143,1514,51708,2
1,0.25041599999999997,0.0036292173913043476,0.09090699999999996,818.2142857142857,1514,57275,2
2,0.203009,0.002942159420289855,0.09090699999999996,865.8142857142857,1514,60607,2
3,0.08692900000000003,0.0012598405797101455,0.03995700000000002,980.1857142857143,1514,68613,2
4,0.013672999999999935,0.00019815942028985413,0.00376999999999994,1035.942857142857,1514,72516,2
5,0.006869000000000014,9.955072463768136e-05,0.0013879999999999448,897.1428571428571,1514,62800,2
6,0.012533999999999934,0.00018165217391304252,0.007048999999999972,799.3714285714286,1514,55956,2
7,0.01774000000000009,0.00025710144927536363,0.007048999999999972,841.2571428571429,1514,58888,2
8,0.012490000000000001,0.0001810144927536232,0.003699000000000008,979.0857142857143,1514,68536,2
9,0.007848000000000077,0.00011373913043478373,0.0006720000000000059,1086.7,1514,76069,2
10,0.008662999999999976,0.00012555072463768082,0.0014540000000000664,1081.4,1514,75698,2
11,0.010025000000000062,0.00014528985507246465,0.0014540000000000664,1070.7,1514,74949,2
12,0.009180999999999995,0.00013305797101449267,0.0012440000000000229,1076.0,1514,75320,2
13,0.00983999999999996,0.00014260869565217333,0.0017080000000000428,993.2571428571429,1514,69528,2
14,0.008514000000000022,0.0001233913043478264,0.0017080000000000428,952.7285714285714,1514,66691,2
15,0.015446999999999989,0.00022386956521739114,0.004842000000000013,1035.4714285714285,1514,72483,2
16,0.015422999999999965,0.00022352173913043426,0.004842000000000013,1063.5,1514,74445,2
17,0.008294999999999941,0.00012021739130434698,0.0015129999999999866,1105.2142857142858,1514,77365,2
18,0.008340000000000014,0.00012086956521739151,0.0013659999999999783,1094.5857142857142,1514,76621,2
19,0.008430999999999966,0.00012218840579710096,0.0010710000000000441,1073.7285714285715,1514,75161,2
20,0.011407999999999974,0.00016533333333333295,0.003830999999999918,1072.2285714285715,1514,75056,2
21,0.04389200000000004,0.0006361159420289861,0.016270000000000007,1025.9142857142858,1514,71814,2
22,0.08017300000000005,0.0011619275362318847,0.020445000000000046,971.2571428571429,1514,67988,2
23,0.06769000000000003,0.0009810144927536236,0.020445000000000046,955.3714285714286,1514,66876,2
24,0.06390299999999993,0.0009261304347826078,0.01697700000000002,924.7142857142857,1514,64730,2
25,0.08288200000000001,0.0012011884057971016,0.029444000000000026,891.8,1514,62426,2
26,0.08799099999999993,0.00127523188405797,0.029444000000000026,1047.5,1514,73325,2
27,0.041358999999999924,0.0005994057971014481,0.019214999999999982,1092.9285714285713,1514,76505,2
28,0.007939999999999836,0.00011507246376811356,0.0024170000000001135,1030.8428571428572,1514,72159,2
