num,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,class
140,0.276284,0.004004116,0.178511,1045.957143,1514,73217,5
141,0.406569,0.005892304,0.178511,1169.971429,1514,81898,5
142,0.316613,0.004588594,0.072882,1062.714286,1514,74390,5
143,0.412965,0.005985,0.082959,683.2,1514,47824,5
144,0.676058,0.009797942,0.082959,535.9,1514,37513,5
145,1.042708,0.01511171,0.08224,864.2857143,1514,60500,5
146,0.87499,0.012681014,0.08224,1021.3,2937,71491,5
147,0.616135,0.008929493,0.082326,829.1,2937,58037,5
148,0.433294,0.006279623,0.082326,651.1428571,1514,45580,5
149,0.219766,0.003185014,0.061125,843.6428571,1514,59055,5
150,0.129624,0.001878609,0.061125,1160.585714,1514,81241,5
151,0.251857,0.003650101,0.06726,1145.257143,1514,80168,5
152,0.359756,0.005213855,0.06726,1011.871429,1514,70831,5
153,0.178919,0.002593029,0.040007,1064.828571,1514,74538,5
154,0.07163,0.001038116,0.040007,1198.042857,1514,83863,5
155,0.070395,0.001020217,0.033992,1118.3,1514,78281,5
156,0.071168,0.00103142,0.033992,1139.157143,1514,79741,5
157,0.007689,0.000111435,0.000637,1305.428571,1514,91380,5
158,0.093088,0.001349101,0.059486,1261.828571,1514,88328,5
159,0.371308,0.005381275,0.082235,1102.842857,1514,77199,5
160,0.452098,0.006552145,0.082235,1025.271429,1514,71769,5
161,1.654239,0.023974478,0.288805,977.0571429,1514,68394,5
162,2.004255,0.029047174,0.288805,777.3857143,2843,54417,5
163,1.102042,0.015971623,0.150647,901.5,2843,63105,5
164,1.14082,0.016533623,0.08287,927.3857143,1514,64917,5
165,1.182945,0.01714413,0.084563,747.4285714,1514,52320,5
166,0.61909,0.008972319,0.084563,1063.242857,1514,74427,5
167,0.170539,0.00247158,0.080888,1107.785714,1514,77545,5
168,0.250996,0.003637623,0.054855,818.4857143,1514,57294,5
169,0.263068,0.00381258,0.054855,757.3,1514,53011,5
170,0.317338,0.004599101,0.051437,839.8571429,1514,58790,5
171,0.451416,0.006542261,0.060744,954.5142857,1514,66816,5
172,0.424769,0.006156072,0.060744,995.4285714,1514,69680,5
173,0.630952,0.009144232,0.212079,994.6,1514,69622,5
174,1.024248,0.014844174,0.212079,932.6285714,1514,65284,5
175,1.325006,0.019202986,0.154075,855.6571429,1514,59896,5
176,1.439697,0.020865174,0.154075,856.1428571,1514,59930,5
177,0.964201,0.013973928,0.084033,974.5142857,1514,68216,5
178,0.892739,0.012938246,0.086482,1139.257143,1514,79748,5
179,1.056258,0.015308087,0.111175,1056.857143,1514,73980,5
180,0.833736,0.01208313,0.111175,932.8285714,1514,65298,5
181,0.56434,0.008178841,0.064339,1056.257143,1514,73938,5
182,0.480905,0.006969638,0.062489,1015.142857,1514,71060,5
183,0.646897,0.009375319,0.059755,891.5428571,1514,62408,5
184,0.712275,0.010322826,0.083109,974.1714286,2937,68192,5
185,0.60684,0.008794783,0.083109,1037.642857,2937,72635,5
186,1.070711,0.015517551,0.408315,861.1428571,1514,60280,5
187,1.233408,0.017875478,0.408315,771.8,1514,54026,5
188,0.462614,0.006704551,0.04292,813.7857143,1514,56965,5
189,0.211123,0.003059754,0.042463,984.2,1514,68894,5
190,0.089271,0.001293783,0.038916,975.3428571,1514,68274,5
191,0.008242,0.000119449,0.004326,773.4285714,1514,54140,5
192,0.167061,0.002421174,0.058966,794.1714286,1514,55592,5
193,0.250802,0.003634812,0.058966,831.3714286,1514,58196,5
194,0.108903,0.001578304,0.047995,872.4571429,1514,61072,5
195,0.090554,0.001312377,0.044389,803.3142857,1514,56232,5
196,0.41835,0.006063043,0.047923,801.7142857,1514,56120,5
197,0.637432,0.009238145,0.056971,952.8571429,1514,66700,5
198,0.564499,0.008181145,0.056971,1014.742857,1514,71032,5
199,0.542351,0.007860159,0.048969,1035.657143,1514,72496,5
200,0.502364,0.007280638,0.04846,1077.371429,1514,75416,5
201,0.464007,0.006724739,0.04768,1118.228571,1514,78276,5
202,0.8501,0.01232029,0.084486,1049.014286,1514,73431,5
203,1.305957,0.018926913,0.084579,966.4428571,1514,67651,5
204,2.601558,0.037703739,0.607805,911.0285714,1514,63772,5
205,2.627761,0.038083493,0.607805,955.9285714,1514,66915,5
206,0.860167,0.012466188,0.357019,980.9142857,1514,68664,5
207,0.501854,0.007273246,0.081801,977.7285714,1514,68441,5
208,0.669509,0.009703029,0.085618,872.4,1514,61068,5
209,1.256891,0.018215812,0.168285,810.6285714,1514,56744,5
210,7.05538,0.102251884,0.234801,259.1428571,1268,18140,1
211,0.834189,0.012089696,0.038415,246.3428571,1268,17244,1
212,0.686107,0.00994358,0.038415,105.8714286,1268,7411,1
213,0.452768,0.006561855,0.017892,105.4714286,1268,7383,1
214,0.424594,0.006153536,0.01903,82.04285714,130,5743,1
215,0.414413,0.006005986,0.01903,81.18571429,130,5683,1
216,0.38299,0.00555058,0.016672,81.05714286,112,5674,1
217,0.374939,0.005433899,0.012887,81.32857143,113,5693,1
218,0.403855,0.005852971,0.021291,87.07142857,392,6095,1
219,0.401853,0.005823957,0.021291,88.94285714,392,6226,1
220,0.392401,0.005686971,0.018822,87.02857143,302,6092,1
221,0.372258,0.005395043,0.01675,107.6285714,1268,7534,1
222,0.379793,0.005504246,0.01675,103.4571429,1268,7242,1
223,0.401921,0.005824942,0.02114,85.4,295,5978,1
224,0.386208,0.005597217,0.017302,87.51428571,305,6126,1
225,0.385545,0.005587609,0.017302,84.3,305,5901,1
226,0.389154,0.005639913,0.017237,86.84285714,409,6079,1
227,0.425223,0.006162652,0.017673,113.6571429,1268,7956,1
228,0.413994,0.005999913,0.017866,110.7714286,1268,7754,1
229,0.397681,0.005763493,0.017866,83.04285714,149,5813,1
230,0.389019,0.005637957,0.017365,81.42857143,142,5700,1
231,0.369102,0.005349304,0.015531,80.91428571,142,5664,1
232,0.390429,0.005658391,0.016108,80.32857143,108,5623,1
233,0.429227,0.006220681,0.016454,82.2,139,5754,1
234,0.411952,0.005970319,0.016509,82.68571429,139,5788,1
235,0.388156,0.005625449,0.016509,81.42857143,130,5700,1
236,0.354643,0.005139754,0.01489,81.38571429,130,5697,1
237,0.293241,0.00424987,0.01489,81.65714286,143,5716,1
238,0.293046,0.004247043,0.01386,83.07142857,143,5815,1
239,0.298907,0.004331986,0.014711,82.41428571,143,5769,1
240,0.297221,0.004307551,0.014711,80.32857143,112,5623,1
241,0.299621,0.004342333,0.013296,79.9,142,5593,1
242,0.289861,0.004200884,0.013857,120.7857143,1036,8455,1
243,0.320491,0.004644797,0.016309,157.9285714,1268,11055,1
244,0.387223,0.005611928,0.024204,121.9,1268,8533,1
245,0.493438,0.007151275,0.114781,108.0714286,1210,7565,1
246,0.472677,0.006850391,0.114781,103.8571429,1210,7270,1
247,0.369937,0.005361406,0.017398,81.6,130,5712,1
248,0.357973,0.005188014,0.021191,106.0428571,1268,7423,1
249,0.361266,0.005235739,0.019062,111.4714286,1268,7803,1
250,0.425421,0.006165522,0.024089,91.9,433,6433,1
251,0.683221,0.009901754,0.061903,118.2714286,1268,8279,1
252,0.690094,0.010001362,0.061903,116.9571429,1268,8187,1
253,0.440728,0.006387362,0.023059,87.15714286,154,6101,1
254,0.428012,0.006203072,0.019017,84.74285714,154,5932,1
255,0.458234,0.006641072,0.019191,85.42857143,173,5980,1
256,0.42648,0.00618087,0.022472,85.1,173,5957,1
257,0.375435,0.005441087,0.022472,98.67142857,1246,6907,1
258,0.412583,0.005979464,0.027916,100.7142857,1246,7050,1
259,0.409512,0.005934957,0.027916,106.8,1268,7476,1
260,0.379428,0.005498957,0.021503,103.6571429,1268,7256,1
261,0.392737,0.005691841,0.022768,82.82857143,147,5798,1
262,0.398347,0.005773145,0.022768,85.28571429,151,5970,1
263,0.398229,0.005771435,0.020694,85.51428571,157,5986,1
264,0.372101,0.005392768,0.020694,87.45714286,157,6122,1
265,0.36201,0.005246522,0.022973,87.01428571,151,6091,1
266,0.387895,0.005621667,0.023547,85.05714286,174,5954,1
267,0.373239,0.005409261,0.023547,86.82857143,174,6078,1
268,0.380973,0.005521348,0.02154,88.71428571,187,6210,1
269,0.392045,0.005681812,0.020212,87.61428571,187,6133,1
270,0.376,0.005449275,0.019673,86.6,165,6062,1
271,0.379971,0.005506826,0.019673,86.97142857,165,6088,1
272,0.377176,0.005466319,0.016707,87.88571429,182,6152,1
273,0.380009,0.005507377,0.015362,87.68571429,182,6138,1
274,0.391011,0.005666826,0.016995,85.18571429,171,5963,1
275,0.393025,0.005696014,0.016995,85.97142857,164,6018,1
276,0.410856,0.005954435,0.018271,90.11428571,326,6308,1
277,0.410524,0.005949623,0.018271,88.9,326,6223,1
278,0.385026,0.005580087,0.012669,86.14285714,164,6030,1
279,0.381788,0.005533159,0.012669,86.51428571,164,6056,1
280,0.033181,0.000480884,0.003792,3583.3,62834,250831,4
281,0.033045,0.000478913,0.004662,2409.685714,62834,168678,4
282,0.034983,0.000507,0.004662,2410.914286,62834,168764,4
283,0.038592,0.000559304,0.005583,3584.528571,62834,250917,4
284,0.037386,0.000541826,0.005583,3583.3,62834,250831,4
285,0.043136,0.000625159,0.00745,3584.528571,62834,250917,4
286,0.040978,0.000593884,0.00745,3584.528571,62834,250917,4
287,0.031865,0.000461812,0.003753,2409.685714,62834,168678,4
288,0.04021,0.000582754,0.004868,3584.528571,62834,250917,4
289,0.048452,0.000702203,0.006493,3584.528571,62834,250917,4
290,0.042344,0.000613681,0.006493,2409.685714,62834,168678,4
291,0.036524,0.000529333,0.005478,3307.685714,62834,231538,4
292,0.03375,0.00048913,0.004609,3584.528571,62834,250917,4
293,0.037524,0.000543826,0.005611,2686.528571,62834,188057,4
294,0.044329,0.000642449,0.007115,3584.528571,62834,250917,4
295,0.043199,0.000626072,0.007115,3584.528571,62834,250917,4
296,0.044779,0.000648971,0.007703,3584.528571,62834,250917,4
297,0.047204,0.000684116,0.007703,3584.528571,62834,250917,4
298,0.040299,0.000584043,0.00561,3307.685714,62834,231538,4
299,0.04303,0.000623623,0.007309,3584.528571,62834,250917,4
300,0.041328,0.000598957,0.007309,2686.528571,62834,188057,4
301,0.049642,0.000719449,0.011092,3584.528571,62834,250917,4
302,0.0532,0.000771014,0.011092,3584.528571,62834,250917,4
303,0.046153,0.000668884,0.010029,2409.685714,62834,168678,4
304,0.054627,0.000791696,0.010029,3584.528571,62834,250917,4
305,0.046036,0.000667188,0.008237,3585.757143,62834,251003,4
306,0.041707,0.000604449,0.006528,3584.528571,62834,250917,4
307,0.038148,0.00055287,0.006528,3583.214286,62834,250825,4
308,0.041692,0.000604232,0.006627,3584.442857,62834,250911,4
309,0.04269,0.000618696,0.006627,3584.528571,62834,250917,4
310,0.034479,0.000499696,0.00377,2409.685714,62834,168678,4
311,0.036505,0.000529058,0.004598,2409.685714,62834,168678,4
312,0.043336,0.000628058,0.007437,3584.528571,62834,250917,4
313,0.045308,0.000656638,0.007437,4759.371429,62834,333156,4
314,0.039314,0.000569768,0.005537,3584.528571,62834,250917,4
315,0.033899,0.00049129,0.003966,2409.685714,62834,168678,4
316,0.036743,0.000532507,0.003961,3584.528571,62834,250917,4
317,0.036006,0.000521826,0.003671,3584.528571,62834,250917,4
318,0.030264,0.000438609,0.003671,2409.685714,62834,168678,4
319,0.032844,0.000476,0.002765,3584.528571,62834,250917,4
320,0.034791,0.000504217,0.003664,3584.528571,62834,250917,4
321,0.030586,0.000443275,0.003664,2409.685714,62834,168678,4
322,0.033805,0.000489928,0.002831,3584.528571,62834,250917,4
323,0.034046,0.00049342,0.003626,3584.528571,62834,250917,4
324,0.032042,0.000464377,0.003626,2409.685714,62834,168678,4
325,0.040217,0.000582855,0.006673,3584.528571,62834,250917,4
326,0.038458,0.000557362,0.006673,3584.528571,62834,250917,4
327,0.028933,0.000419319,0.002997,3307.685714,62834,231538,4
328,0.037523,0.000543812,0.007573,3584.528571,62834,250917,4
329,0.04433,0.000642464,0.007573,2686.528571,62834,188057,4
330,0.044665,0.000647319,0.006552,3584.528571,62834,250917,4
331,0.039351,0.000570304,0.004596,3584.528571,62834,250917,4
332,0.033854,0.000490638,0.004583,2409.685714,62834,168678,4
333,0.041598,0.00060287,0.007301,3584.528571,62834,250917,4
334,0.041823,0.00060613,0.007301,3584.528571,62834,250917,4
335,0.029706,0.000430522,0.003673,2409.685714,62834,168678,4
336,0.031192,0.000452058,0.002782,3307.685714,62834,231538,4
337,0.035076,0.000508348,0.00374,3584.528571,62834,250917,4
338,0.036451,0.000528275,0.005644,2686.528571,62834,188057,4
339,0.043852,0.000635536,0.006411,3584.528571,62834,250917,4
340,0.038694,0.000560783,0.006411,3584.528571,62834,250917,4
341,0.039746,0.000576029,0.009281,3584.528571,62834,250917,4
342,0.043715,0.000633551,0.009281,3584.528571,62834,250917,4
343,0.036088,0.000523014,0.00555,2409.685714,62834,168678,4
344,0.041399,0.000599986,0.006578,3307.685714,62834,231538,4
345,0.048869,0.000708246,0.006629,3584.528571,62834,250917,4
346,0.043343,0.000628159,0.006629,2686.528571,62834,188057,4
347,0.053983,0.000782362,0.008354,3584.528571,62834,250917,4
348,0.056251,0.000815232,0.00838,3584.528571,62834,250917,4
349,0.047994,0.000695565,0.00838,2409.685714,62834,168678,4
350,0.276193,0.004002797,0.014569,1004.285714,1514,70300,2
351,0.294107,0.00426242,0.01901,1003.857143,1514,70270,2
352,0.307402,0.004455101,0.01901,1013.428571,1514,70940,2
353,0.265184,0.003843246,0.012334,1034.285714,1514,72400,2
354,0.264336,0.003830957,0.011842,1034.285714,1514,72400,2
355,0.26977,0.00390971,0.014274,993.0857143,1514,69516,2
356,0.236241,0.003423783,0.014274,892.4,1514,62468,2
357,0.16716,0.002422609,0.011146,770.7285714,1514,53951,2
358,0.193837,0.002809232,0.015617,871.9285714,1514,61035,2
359,0.224046,0.003247043,0.015617,972.6571429,1514,68086,2
360,0.275128,0.003987362,0.040917,958.6714286,1514,67107,2
361,0.363976,0.005275014,0.045224,1004.314286,1514,70302,2
362,0.375997,0.005449232,0.066945,1005.528571,1514,70387,2
363,0.39112,0.005668406,0.066945,994,1514,69580,2
364,0.434089,0.006291145,0.075532,991.1142857,1514,69378,2
365,0.460182,0.006669304,0.075532,965.6571429,1514,67596,2
366,0.451918,0.006549536,0.064481,940.1142857,1514,65808,2
367,0.348674,0.005053246,0.064544,871.1,1514,60977,2
368,0.320816,0.004649507,0.064544,868.7857143,1514,60815,2
369,0.373769,0.005416942,0.054706,947.7285714,1514,66341,2
370,0.405979,0.005883754,0.092377,983.5142857,1514,68846,2
371,0.569406,0.008252261,0.094682,1018.542857,1514,71298,2
372,0.551683,0.007995406,0.098331,997.0142857,1514,69791,2
373,0.493336,0.007149797,0.098331,931.3571429,1514,65195,2
374,0.403795,0.005852101,0.085525,840.3142857,1514,58822,2
375,0.303384,0.00439687,0.057047,823.9285714,1514,57675,2
376,0.430423,0.006238014,0.116069,956.4,1514,66948,2
377,0.373829,0.005417812,0.116069,924.4,1514,64708,2
378,0.241208,0.003495768,0.049973,822.3285714,1514,57563,2
379,0.213385,0.003092536,0.018201,924.0428571,1514,64683,2
380,0.204734,0.002967159,0.012025,1021.371429,1514,71496,2
381,0.268869,0.003896652,0.056654,1001.357143,1514,70095,2
382,0.373575,0.00541413,0.064468,973.6857143,1514,68158,2
383,0.317277,0.004598217,0.064736,973.7,1514,68159,2
384,0.183475,0.002659058,0.064736,871.3714286,1514,60996,2
385,0.208915,0.003027754,0.072677,798.2,1514,55874,2
386,0.360103,0.005218884,0.072677,863.7,1514,60459,2
387,0.463046,0.006710812,0.095931,933.7285714,1514,65361,2
388,0.447019,0.006478536,0.095931,969.5142857,1514,67866,2
389,0.227549,0.003297812,0.071749,870.6,1514,60942,2
390,0.437647,0.00634271,0.093038,865.2571429,1514,60568,2
391,0.476254,0.006902232,0.093038,988.0857143,1514,69166,2
392,0.330171,0.004785087,0.06041,1035.742857,1514,72502,2
393,0.39588,0.005737391,0.101552,1046.4,1514,73248,2
394,0.382235,0.005539638,0.101909,1086.542857,1514,76058,2
395,0.350877,0.005085174,0.101909,1072.085714,1514,75046,2
396,0.366992,0.005318725,0.076164,978.1571429,1514,68471,2
397,0.319875,0.00463587,0.064269,981.1857143,1514,68683,2
398,0.333947,0.004839812,0.064269,993.3714286,1514,69536,2
399,0.29513,0.004277246,0.043307,982.9428571,1514,68806,2
400,0.31286,0.004534203,0.059129,995.4714286,1514,69683,2
401,0.29689,0.004302754,0.059129,927.6428571,1514,64935,2
402,0.156848,0.002273159,0.044681,813.1142857,1514,56918,2
403,0.217987,0.003159232,0.063891,850.7428571,1514,59552,2
404,0.258289,0.003743319,0.063891,972.8,1514,68096,2
405,0.245886,0.003563565,0.041566,999.2,1514,69944,2
406,0.218354,0.003164551,0.041566,894.8,1514,62636,2
407,0.345332,0.005004812,0.096744,827.8285714,1514,57948,2
408,0.453128,0.006567072,0.096744,850.5142857,1514,59536,2
409,0.250557,0.003631261,0.041153,809.6571429,1514,56676,2
410,0.144279,0.002091,0.011538,809.9142857,1514,56694,2
411,0.152004,0.002202957,0.011538,931.9714286,1514,65238,2
412,0.246414,0.003571217,0.047534,1013.528571,1514,70947,2
413,0.373711,0.005416101,0.047534,997.7857143,1514,69845,2
414,0.30642,0.00444087,0.046981,997.6857143,1514,69838,2
415,0.310303,0.004497145,0.073955,999.6571429,1514,69976,2
416,0.336848,0.004881855,0.073955,1009.457143,1514,70662,2
417,0.222858,0.003229826,0.057604,1023.657143,1514,71656,2
418,0.237345,0.003439783,0.077109,1016.328571,1514,71143,2
419,0.211225,0.003061232,0.077109,986.7142857,1514,69070,2
420,2.012609,0.029168246,0.269992,98.55714286,360,6899,1
421,1.578923,0.022882942,0.103148,100.4142857,360,7029,1
422,4.301923,0.06234671,0.59289,101.1285714,372,7079,1
423,6.248011,0.090550884,0.59289,93.55714286,372,6549,1
424,6.504289,0.094265058,0.563025,88.3,571,6181,1
425,7.044152,0.102089159,0.567519,94.17142857,571,6592,1
426,6.788207,0.098379812,0.593969,94.68571429,372,6628,1
427,3.349992,0.048550609,0.593969,93.14285714,155,6520,1
428,1.407537,0.020399087,0.10114,114.3,1514,8001,1
429,1.588595,0.023023116,0.160909,113.5428571,1514,7948,1
430,1.890546,0.027399217,0.160909,95.84285714,372,6709,1
431,1.888414,0.027368319,0.164818,152.8857143,1514,10702,1
432,1.893222,0.027438,0.164818,150.3428571,1514,10524,1
433,2.241907,0.032491406,0.271215,163.6285714,1514,11454,1
434,3.720662,0.053922638,0.365713,154.5285714,1514,10817,1
435,4.041135,0.058567174,0.294027,82.82857143,155,5798,1
436,3.377293,0.048946275,0.294027,92.44285714,372,6471,1
437,3.204688,0.046444754,0.291883,89,372,6230,1
438,3.738423,0.054180043,0.295104,85.32857143,372,5973,1
