,mu,sig,mu,sig,mu,sig,class
68,1.4681369e-05,1.000029,-1.341477e-05,1.0000144,-1.8909574e-05,1.0000036,1
69,2.0824373e-06,1.000051,0.00027384982,1.0000484,0.00015395135,1.0000594,1
70,-0.00025171787,1.0000706,-0.00038897246,1.0001472,0.00014512986,1.0002773,1
71,-0.001293201,0.9996321,-0.00072495267,0.9999659,0.000865899,0.9998926,1
72,9.259209e-05,1.0000061,5.4985285e-05,0.99997956,-5.3681433e-05,0.99997973,1
73,0.0001810193,0.99988335,0.00019287318,0.99978995,0.00019261241,1.0001847,1
74,-0.0001543425,0.9999158,0.00019591302,1.0001812,-0.00029810518,0.999689,1
75,3.759563e-05,0.99989104,0.00040066987,1.0000587,0.00037887692,0.99970657,1
76,-0.0023236535,0.99938923,-2.8979033e-05,1.000309,0.0017589033,0.9992148,1
77,-0.00012982637,1.0002483,0.0005453527,1.0004026,7.825345e-05,0.9998866,1
78,0.00025527738,0.9998961,0.00011489168,0.9998758,-5.4232776e-05,0.9999589,1
79,-1.4100224e-05,0.999952,6.2547624e-06,0.99994206,7.776171e-05,0.99992794,1
80,0.00014695898,1.0000272,1.9915402e-05,0.99995816,-3.5464764e-06,1.0001197,2
81,2.5086105e-05,1.0000637,-0.00015795976,0.9999736,7.075071e-05,1.0001565,2
82,7.4561685e-05,0.99998945,0.00014303997,0.9999774,9.890646e-05,1.000016,2
83,-4.7367066e-05,0.99999744,-2.8539449e-05,1.0000056,5.5380166e-05,1.0000215,2
84,0.00010880083,1.0000497,0.00017138198,1.0000738,-0.00020382553,0.99994946,2
85,4.670769e-05,1.000029,6.255135e-05,1.0000267,0.00012595952,1.0001291,2
86,0.00022470206,1.0001028,0.00023682043,1.0000964,-0.00022766739,0.9999571,2
87,-0.00017971545,0.99994946,-0.00032022223,1.0000051,-0.0004280731,0.99966276,2
88,2.4478883e-05,1.0000173,1.8190593e-05,1.0000726,-9.0271235e-05,0.9999413,2
89,2.4564564e-05,1.0000184,0.00014122948,1.0000752,-8.355826e-05,0.99994344,2
90,-0.00016063452,0.99998194,-1.5567988e-05,1.000109,-5.3219497e-05,0.99990076,2
91,-0.00020841509,0.9998574,-7.5779855e-05,0.99990034,0.00027295202,0.9999177,2
92,-5.785376e-05,1.0000042,-1.9203871e-05,0.9999985,2.1636486e-05,0.9999624,2
93,2.078712e-05,1.0000011,3.8929284e-06,1.000009,9.343028e-05,1.0000148,2
94,3.6481768e-05,1.0000079,-9.318441e-05,0.9999743,1.9557774e-05,1.0001138,2
95,-7.1618706e-05,0.9999574,0.00012446195,1.0000131,4.722923e-05,0.9998923,2
96,2.9556453e-05,1.0000356,-0.00023538247,0.9999863,-0.00014209002,1.0001034,2
97,0.00085711107,0.999699,0.00081341714,0.99941355,0.0013921112,1.0009912,2
98,2.1360815e-05,1.0001049,-0.0005178824,0.9999986,-0.00032309443,1.0001987,2
99,2.5745481e-05,0.99999475,1.14142895e-05,0.9999798,4.3921173e-05,0.99998754,2
100,-4.5832247e-05,1.0000161,-5.8695674e-05,1.0000107,-1.591444e-05,0.9999926,2
101,-1.937151e-07,1.0001098,-7.480383e-05,1.0001543,-0.00017528981,1.0001487,2
102,-0.00022876821,1.0000494,-9.8798424e-05,1.0001628,-0.00017249584,0.9999311,2
103,1.7799437e-05,1.0000215,4.306808e-05,1.0000042,5.156547e-05,1.0000185,2
104,0.0011048354,0.9999504,-2.3692846e-05,0.99926835,0.00011815876,1.0006906,2
105,-9.364635e-05,0.9999508,-7.405877e-06,1.0000286,-2.5086105e-05,0.99991435,2
106,8.579344e-06,0.99998915,-1.5601516e-05,0.99998623,4.7311187e-06,1.0000185,2
107,-1.8768013e-05,0.9999982,-1.5322119e-05,0.9999445,6.3478947e-06,0.99994487,2
108,4.717335e-05,1.0000081,0.00014200062,1.000049,2.0600855e-05,1.0000197,2
109,-1.12354755e-05,1.0000495,-0.00013123453,1.0000378,-0.0002315566,0.99993503,2
110,-3.40119e-05,1.0000205,6.077811e-05,1.0000541,1.13248825e-05,0.9999848,2
111,1.31465495e-05,0.9999942,-7.137656e-05,0.9999721,-7.3462725e-06,1.0000309,2
112,1.7570332e-05,0.9999504,4.3008476e-05,0.99995506,2.6650727e-05,0.999932,2
113,-6.6146255e-05,0.99993396,0.00017227605,0.9999635,0.00017184019,0.99985784,2
114,-0.0003133826,1.0002097,-0.00024029985,1.0003699,-0.00022489578,1.0001742,2
115,0.00018584356,0.99994886,0.0001103431,0.99989474,0.00013709068,1.0000366,2
116,-9.097904e-05,1.000014,-2.1837652e-05,1.000045,3.7111342e-05,1.0000143,2
117,-1.5389174e-05,1.0003387,-0.0003564097,1.0002685,-0.00048482418,1.0001197,2
118,-0.00027040392,0.99985266,-0.00044422224,0.9998797,0.00015319139,1.000038,2
119,-0.00016646832,0.9999207,4.7683716e-07,0.99994063,0.00029692054,1.0000111,2
120,-6.4857304e-06,1.0000165,-2.026558e-06,1.0000334,-3.1784177e-05,1.0000026,3
121,3.696978e-05,1.0000142,-1.5750527e-05,1.0000142,-4.6797097e-05,1.0000365,3
122,0.00028827414,1.0000852,2.4929643e-05,1.0000198,-0.00020064414,1.0001428,3
123,-0.0002718717,1.0000048,-6.662682e-05,1.000072,0.00029323995,1.0000689,3
124,7.1462244e-05,1.0000393,-3.3862889e-06,1.0000141,-0.000121347606,0.9999792,3
125,-0.000106975436,0.99995244,1.7173588e-06,0.9999608,0.000107221305,0.99994105,3
126,-0.000119995326,0.99999505,1.0639429e-05,1.0000778,1.8619001e-05,0.9999935,3
127,-8.988008e-05,0.9999863,2.263859e-05,1.0000603,0.00010448694,1.0000108,3
128,-0.00020433962,0.9999521,-5.577877e-05,1.0000046,0.00025523454,1.0000321,3
129,-0.0006134957,0.9996282,-0.00014805049,0.9999464,0.0006613657,0.9996557,3
130,0.00026865304,1.0001215,-0.00010537356,1.0000298,-0.00019267201,1.000314,3
131,-0.00014430285,0.9999353,1.0222197e-05,0.99992716,0.00016374886,0.999873,3
132,-0.00025093928,0.9999855,-0.00048495084,1.0004476,-0.00094659626,0.9998071,3
133,-0.00011479482,0.9999997,-0.00038781762,0.99985266,0.0002584532,1.0001717,3
134,6.405637e-05,1.0001066,-9.349361e-05,1.0000736,-0.00023268908,0.99997467,3
135,1.4901161e-06,1.0000116,-2.7846545e-05,1.0000068,-1.8581748e-05,0.9999926,3
136,-0.0016208738,0.9990289,0.00055969134,0.9995756,0.0012994036,0.9981485,3
137,-5.6296587e-05,1.0002337,-0.0003168173,1.000098,-7.8842044e-05,1.0003376,3
138,-2.7351081e-05,0.9999873,0.000102601945,1.0000056,6.776303e-05,0.99994534,3
139,-0.00021942705,0.9999704,0.00014066696,1.0000587,0.00032107532,0.99997205,3
140,2.6140362e-05,1.000004,-2.0261854e-05,1.0000001,-3.8601458e-05,0.99999106,3
141,-0.00058169663,0.9999561,0.0005280152,1.0000309,0.0019350424,1.0003585,3
142,2.1383166e-05,1.0000073,4.84474e-05,1.0000165,-4.0382147e-06,1.0000026,3
143,-9.859726e-05,1.000069,1.552701e-05,1.0000802,0.00010866672,1.0000216,3
144,0.00027610734,1.0000906,1.4826655e-06,1.0000546,-0.00027021766,1.0001494,3
145,0.00028845668,1.000101,-0.00030157715,0.99988115,-2.3953617e-05,1.0002091,3
146,-2.0191073e-05,0.9999748,1.9755214e-05,0.99999124,4.066527e-05,0.99997336,3
147,-1.5515834e-05,0.999977,-1.565367e-05,1.0000125,1.7888844e-05,1.0000358,3
148,-6.246567e-05,0.99995023,2.5752932e-05,0.9999654,9.089708e-05,0.9999344,3
149,-0.0002627857,0.99993926,0.00010757893,0.99998903,0.00019595772,0.99975973,3
150,-0.00020307302,0.9999485,-3.135577e-05,1.0000019,0.00013615191,0.9999093,3
151,-0.008431129,0.9982405,0.00087668374,1.0004088,0.011823416,0.9987025,3
152,0.00018123537,1.0001386,-0.00039328635,1.0000379,-0.00021531433,1.000354,3
153,9.166077e-05,0.9999509,0.00041867048,0.99999595,0.00019422174,0.9998232,3
154,0.00033947825,0.9998533,-0.00023231283,0.99979013,-0.00015296042,0.99989957,3
155,-5.9042126e-05,1.0000029,-1.7732382e-05,1.0000346,-5.4374337e-05,0.99999785,3
156,0.00012535602,1.0000453,-0.0004839413,1.000038,-0.00015674531,1.0001687,3
157,-0.0004688576,1.0000867,-0.00017271191,1.000149,0.00039881468,0.9998684,3
158,4.3958426e-06,1.0000006,2.0664185e-05,1.0000083,4.6640635e-06,0.9999992,3
159,0.0001575835,1.0000298,-7.7441335e-05,1.0000119,-0.00013639033,1.0001104,3
160,0.00012097135,1.0001063,8.964911e-05,1.0001453,-0.00026299804,1.0000623,4
161,0.00036043674,0.9995909,0.00069099665,0.9997476,-0.00043523312,0.9992215,4
162,0.00086035766,0.9990191,-0.000451155,0.99793255,-0.00068967044,0.9991717,4
163,7.8585e-05,0.999998,8.95448e-05,1.0000374,-0.00021600723,0.9998928,4
164,8.611381e-05,1.0000945,-0.00016318262,1.0000991,-0.00029248,1.0000702,4
165,-0.0010426454,0.99972564,4.0329993e-05,0.99990153,0.0015993714,0.9999276,4
166,0.000588391,1.0001233,0.0001306124,0.99994403,-0.00038537383,1.0001694,4
167,-0.00038505346,0.99946415,0.00026450306,0.9996318,0.0012255609,0.99958885,4
168,0.00022467226,0.9997543,0.00061566755,0.9997595,0.0008756444,0.99999255,4
169,-5.5881217e-05,1.0006667,-0.00014061481,1.0010314,-0.0009617731,1.0007951,4
170,-0.0019113217,0.99989265,-0.0014909022,1.0001944,0.000969328,1.0002322,4
171,-0.00031515956,0.9999559,-0.00011139363,1.0000745,0.00023791194,1.0001581,4
172,0.00014228746,1.0005013,0.0007589422,1.0004941,-0.0008025542,0.9992763,4
173,0.0004212819,1.0002004,0.00013512745,1.0001289,-0.00050620735,1.0001576,4
